TestNum,TESTNAME, FT LoLim,FT HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA1 LoLim,QA1 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA2 LoLim,QA2 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA3 LoLim,QA3 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,TestNum,TESTNAME,CHAR LoLim,CHAR HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
101,Device_ID,0,1000000,scaleNoScaling,N,,%1.0f,,,,,101,Device_ID,0,1000000,scaleNoScaling,N,,%1.0f,,,,,101,Device_ID,0,1000000,scaleNoScaling,N,,%1.0f,,,,,101,Device_ID,0,1000000,scaleNoScaling,N,,%1.0f,,,101,Device_ID,0,1000000,scaleNoScaling,N,,%1.0f,,
102,Product,0,1000000,scaleNoScaling,N,,%1.0f,,,,,102,Product,0,1000000,scaleNoScaling,N,,%1.0f,,,,,102,Product,0,1000000,scaleNoScaling,N,,%1.0f,,,,,102,Product,0,1000000,scaleNoScaling,N,,%1.0f,,,102,Product,0,1000000,scaleNoScaling,N,,%1.0f,,
103,Temperature,-70,160,scaleNoScaling,D,,%2.1f,,,,,103,Temperature,-70,160,scaleNoScaling,D,,%2.1f,,,,,103,Temperature,-70,160,scaleNoScaling,D,,%2.1f,,,,,103,Temperature,-70,160,scaleNoScaling,D,,%2.1f,,,103,Temperature,-70,160,scaleNoScaling,D,,%2.1f,,
104,Voltage,2.9,3.7,scaleNoScaling,V,,%3.1f,,,,,104,Voltage,2.9,3.7,scaleNoScaling,V,,%3.1f,,,,,104,Voltage,2.9,3.7,scaleNoScaling,V,,%3.1f,,,,,104,Voltage,2.9,3.7,scaleNoScaling,V,,%3.1f,,,104,Voltage,2.9,3.7,scaleNoScaling,V,,%3.1f,,
201,Loop_Count,-1,1000,scaleNoScaling,N,,%d,,,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%d,,,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%d,,,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%d,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%d,,
201,Loop_Count,-1,1000,scaleNoScaling,N,,%1.3f,,,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%1.3f,,,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%1.3f,,,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%1.3f,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%1.3f,,
202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%d,,,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%d,,,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%d,,,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%d,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%d,,
202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%1.3f,,,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%1.3f,,,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%1.3f,,,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%1.3f,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%1.3f,,
1001,Cont_PWM12,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1001,Cont_PWM12,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1001,Cont_PWM12,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1001,Cont_PWM12,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,,1001,Cont_PWM12,-0.77,-0.49,scaleNoScaling,V,,%1.3f,,
1002,Cont_PWM10,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1002,Cont_PWM10,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1002,Cont_PWM10,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1002,Cont_PWM10,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,,1002,Cont_PWM10,-0.77,-0.49,scaleNoScaling,V,,%1.3f,,
1003,Cont_PWM8,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1003,Cont_PWM8,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1003,Cont_PWM8,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1003,Cont_PWM8,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,,1003,Cont_PWM8,-0.77,-0.49,scaleNoScaling,V,,%1.3f,,
1004,Cont_PWM6,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1004,Cont_PWM6,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1004,Cont_PWM6,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1004,Cont_PWM6,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,,1004,Cont_PWM6,-0.77,-0.49,scaleNoScaling,V,,%1.3f,,
