TestNum,TESTNAME, FT LoLim,FT HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA1 LoLim,QA1 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA2 LoLim,QA2 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA3 LoLim,QA3 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Device_ID,0,1000000,scaleNoScaling,N,,%1.0f,,,,,101,Device_ID,0,1000000,scaleNoScaling,N,,%1.0f,,,,,101,Device_ID,0,1000000,scaleNoScaling,N,,%1.0f,,,,,101,Device_ID,0,1000000,scaleNoScaling,N,,%1.0f,,
102,Product,0,1000000,scaleNoScaling,N,,%1.0f,,,,,102,Product,0,1000000,scaleNoScaling,N,,%1.0f,,,,,102,Product,0,1000000,scaleNoScaling,N,,%1.0f,,,,,102,Product,0,1000000,scaleNoScaling,N,,%1.0f,,
103,Temperature,-70,160,scaleNoScaling,D,,%2.2f,,,,,103,Temperature,-70,160,scaleNoScaling,D,,%2.2f,,,,,103,Temperature,-70,160,scaleNoScaling,D,,%2.2f,,,,,103,Temperature,-70,160,scaleNoScaling,D,,%2.2f,,
104,Voltage,2.9,3.7,scaleNoScaling,V,,%3.2f,,,,,104,Voltage,2.9,3.7,scaleNoScaling,V,,%3.2f,,,,,104,Voltage,2.9,3.7,scaleNoScaling,V,,%3.2f,,,,,104,Voltage,2.9,3.7,scaleNoScaling,V,,%3.2f,,
201,Loop_Count,-1,1000,scaleNoScaling,N,,%d,,,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%d,,,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%d,,,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%d,,
201,Loop_Count,-1,1000,scaleNoScaling,N,,%1.3f,,,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%1.3f,,,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%1.3f,,,,,201,Loop_Count,-1,1000,scaleNoScaling,N,,%1.3f,,
202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%d,,,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%d,,,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%d,,,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%d,,
202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%1.3f,,,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%1.3f,,,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%1.3f,,,,,202,Actual_Soak_Time,-1,36000,scaleNoScaling,N,,%1.3f,,
1001,Cont_PWM14,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1001,Cont_PWM14,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1001,Cont_PWM14,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1001,Cont_PWM14,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1002,Cont_PWM12,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1002,Cont_PWM12,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1002,Cont_PWM12,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1002,Cont_PWM12,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1003,Cont_PWM10,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1003,Cont_PWM10,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1003,Cont_PWM10,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1003,Cont_PWM10,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1004,Cont_PWM8,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1004,Cont_PWM8,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1004,Cont_PWM8,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1004,Cont_PWM8,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1005,Cont_PWM6,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1005,Cont_PWM6,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1005,Cont_PWM6,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1005,Cont_PWM6,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1006,Cont_PWM4,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1006,Cont_PWM4,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1006,Cont_PWM4,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1006,Cont_PWM4,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1007,Cont_PWM2,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1007,Cont_PWM2,-0.72,-0.6,scaleNoScaling,V,,%1.3f,,,,,1007,Cont_PWM2,-0.77,-0.6,scaleNoScaling,V,,%1.3f,,,,,1007,Cont_PWM2,-0.66,-0.49,scaleNoScaling,V,,%1.3f,,
1008,Cont_SDA,-0.75,-0.65,scaleNoScaling,V,,%1.3f,,,,,1008,Cont_SDA,-0.75,-0.65,scaleNoScaling,V,,%1.3f,,,,,1008,Cont_SDA,-0.82,-0.62,scaleNoScaling,V,,%1.3f,,,,,1008,Cont_SDA,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1009,Cont_MP_SMBALERTN,-0.73,-0.6,scaleNoScaling,V,,%1.3f,,,,,1009,Cont_MP_SMBALERTN,-0.73,-0.6,scaleNoScaling,V,,%1.3f,,,,,1009,Cont_MP_SMBALERTN,-0.8,-0.6,scaleNoScaling,V,,%1.3f,,,,,1009,Cont_MP_SMBALERTN,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1010,Cont_AVREN,-0.83,-0.77,scaleNoScaling,V,,%1.3f,,,,,1010,Cont_AVREN,-0.83,-0.77,scaleNoScaling,V,,%1.3f,,,,,1010,Cont_AVREN,-1,-0.8,scaleNoScaling,V,,%1.3f,,,,,1010,Cont_AVREN,-0.75,-0.55,scaleNoScaling,V,,%1.3f,,
1011,Cont_IMON_L1,-0.83,-0.77,scaleNoScaling,V,,%1.3f,,,,,1011,Cont_IMON_L1,-0.83,-0.77,scaleNoScaling,V,,%1.3f,,,,,1011,Cont_IMON_L1,-1,-0.8,scaleNoScaling,V,,%1.3f,,,,,1011,Cont_IMON_L1,-0.75,-0.55,scaleNoScaling,V,,%1.3f,,
1012,Cont_MP_PINALERTN,-0.83,-0.77,scaleNoScaling,V,,%1.3f,,,,,1012,Cont_MP_PINALERTN,-0.83,-0.77,scaleNoScaling,V,,%1.3f,,,,,1012,Cont_MP_PINALERTN,-0.83,-0.77,scaleNoScaling,V,,%1.3f,,,,,1012,Cont_MP_PINALERTN,-0.83,-0.77,scaleNoScaling,V,,%1.3f,,
1013,Cont_VCLK,-0.83,-0.73,scaleNoScaling,V,,%1.3f,,,,,1013,Cont_VCLK,-0.83,-0.73,scaleNoScaling,V,,%1.3f,,,,,1013,Cont_VCLK,-0.83,-0.73,scaleNoScaling,V,,%1.3f,,,,,1013,Cont_VCLK,-0.83,-0.73,scaleNoScaling,V,,%1.3f,,
1014,Cont_VALERTN,-0.83,-0.73,scaleNoScaling,V,,%1.3f,,,,,1014,Cont_VALERTN,-0.83,-0.73,scaleNoScaling,V,,%1.3f,,,,,1014,Cont_VALERTN,-0.83,-0.73,scaleNoScaling,V,,%1.3f,,,,,1014,Cont_VALERTN,-0.83,-0.73,scaleNoScaling,V,,%1.3f,,
1015,Cont_AVSEN,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1015,Cont_AVSEN,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1015,Cont_AVSEN,-0.77,-0.61,scaleNoScaling,V,,%1.3f,,,,,1015,Cont_AVSEN,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1016,Cont_ISEN1,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1016,Cont_ISEN1,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1016,Cont_ISEN1,-0.77,-0.61,scaleNoScaling,V,,%1.3f,,,,,1016,Cont_ISEN1,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
1017,Cont_ISEN3,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1017,Cont_ISEN3,-0.71,-0.59,scaleNoScaling,V,,%1.3f,,,,,1017,Cont_ISEN3,-0.77,-0.61,scaleNoScaling,V,,%1.3f,,,,,1017,Cont_ISEN3,-0.68,-0.48,scaleNoScaling,V,,%1.3f,,
